author_name,email,affiliation,coauthors_names,is_artificial_intelligence
Dan Cosley,nsf.gov,National Science Foundation,Loren Terveen##Victoria Schwanda Sosik##Shyong (Tony) Lam##Susan Fussell##Joseph A. Konstan##Istvan Albert##Amit Sharma##Daniel Huttenlocher##Siddharth Suri##Natalya (Natalie) Bazarova##Tejas Peesapati##Hao-Chuan Wang##David Crandall##Sean M. McNee##Howard Welser##Johnathon Schultz##Shilad Sen##Stephen Voida##Jeffrey T. Hancock##Robert E. Kraut,no
Zhongju Zhang,asu.edu,Arizona State University,Weiguo Fan Patrick Fan##Jan Stallaert##Peng Huang,no
J.K.Udupa,mail.med.upenn.edu,nan,nan,no
David Jurgens,umich.edu,University of Michigan,Derek Ruths##Roberto Navigli##Dan Jurafsky##Mohammad Taher Pilehvar##Vinodkumar Prabhakaran##Yulia Tsvetkov##Tsai-Ching Lu##Rob Voigt##Eshwar Chandrasekharan##Saif M. Mohammad##Andrew Piper##Daniel McFarland##Srijan Kumar##Libby Hemphill##William L Hamilton##Nicholas Camp##Yi Tian Xu##Zijian Wang##Ryan Compton##Peter Turney,no
Hicham Elmongui,alexu.edu.eg,Alexandria University,Denis Gracanin##Walid G. Aref##Mohamed Mokbel##Jingren Zhou##Per-Ake Larson##Mohamed Handosa##Stephen Edwards##Jeremy Ernst##Clifford A. Shaffer##Sally Hamouda##Mohamed Magdy Gharib Farag##Steve Sheetz##Andrea Kavanaugh##Mikhail Atallah##Jeffrey S. Vitter##Ahmed Elmagarmid##Ihab F. Ilyas##Rahul Shah##Kresimir Matkovic##Elisa Bertino,no
Sliman Bensmaia,uchicago.edu,University of Chicago,Hannes Saal##Mark Hollins##Francesco Tenore##Benoit Delhaye##Gregg Tabot##Lee E. Miller##Justin Lieber##Robert A Gaunt##R. Jacob Vogelstein##Louise Manfredi##Sung Soo Kim##Thierri Callier##Jeffrey M. Yau##Alison I Weber##Dustin J. Tyler PhD##Aneesha K. Suresh##James Goodman##John E. Downey##Sharlene Flesher##Jennifer L Collinger,no
Patricia Morellato,unesp.br,UNESP,Bruna Alberton##Ricardo da Silva Torres##Maria Gabriela Gutierrez Camargo##Geraldo Wilson Fernandes##Jurandy Almeida##Daniel Wisbech Carstensen##Thiago Sanna Freire Silva##Mauro Galetti##Elise Buisson##Jefersson A. dos Santos##Fernando A. O. Silveira##Vanessa G. Staggemeier##Marco Aurelio Pizo##Soizig Le Stradic##Swanni T.  Alvarado##Frederico de Siqueira Neves##Daniel Negreiros##Greice C. Mariano PhD##Irene Mendoza (ORCID: 0000-0002-3...##Marco Antonio Assis,no
Koustuv Dasgupta,gs.com,nan,nan,yes
Deva P. Seetharam,alum.mit.edu,nan,Jagabondhu Hazra##Tanuja Ganu##Shivkumar Kalyanaraman##Kaushik Das##Liyanage C De Silva (LC De Silva)##Rajesh Kunnath##Zainul Charbiwala##Dipanjan Chakraborty##Harshad Khadilkar##Balakrishnan Narayanaswamy##neha sengupta##Mohit Jain##Vikas Chandan##Tri Kurniawan Wijaya##Yogish Sabharwal##jayant kalagnanam##Venkatesan Chakaravarthy##Yedendra Shrinivasan##Michael Broxton##Joseph Paradiso,no
kangkook Jee,utdallas.edu,University of Texas at Dallas,Angelos D. Keromytis##Vasileios P. Kemerlis##Georgios Portokalidis##David I. August##Michalis Polychronakis##Theofilos Petsios,no
Renato Stehling,avanade.com,nan,Mario A. Nascimento##Falcao A.X.,no
haichang gao,xidian.edu.cn,Xidian University,Uwe Aickelin##Jeff Yan,no
Hayo Thielecke,cs.bham.ac.uk,University of Birmingham,Josh Berdine##Peter O'Hearn##John Power##Asiri Rathnayake##Uday Reddy##Paul Blain Levy##Jon Riecke##Carsten Führmann##Alan P. Sexton##Michael Fourman##Olivier Danvy##Maxim Strygin,no
Andrian Marcus,utdallas.edu,University of Texas at Dallas,Jonathan I. Maletic##Denys Poshyvanyk##Gabriele Bavota##Rocco Oliveto##Sonia Haiduc##Laura Moreno##Andrea De Lucia##Václav Rajlich##Tim Menzies##Jairo Aponte##Oscar Chaparro##Giuliano (Giulio) Antoniol##Massimiliano Di Penta##Yann-Gaël Guéhéneuc##Louis Feng##Michael L. Collard##Rudolf Ferenc##Gerardo Canfora##Juan Manuel Florez##Thomas Zimmermann,no
Nicola Zeni,unitn.it,University of Trento,Luisa Mich##John Mylopoulos##James R Cordy##Annie I. Antón##Travis Breaux##Roberta Ferrario##Francesco Setti##Dong Seon Cheng##Marco Cristani##Priscila Engiel##mariano ceccato##Carlo Meghini##Basar Oztaysi##mariangela franch##Maria Della Lucia##Preben Hansen##Micke Kuwahara##Periklis Andritsos##Vítor E. Silva Souza##Sami Abduljalil Abdulhak Naji,no
Pius Egbelu,njit.edu,New Jersey Institute of Technology,nan,no
Ratnesh K Sharma PhD PE,scu.edu,nan,nan,no
Joomi Lee,uga.edu,University of Georgia,Allison Eden##David Ewoldsen##David Beyea##Sanguk Lee##Gary Bente##Eric Novotny##Daniel Roth##Reed M. Reynolds##Hamid Ekbia,no
Siddharth Suri,microsoft.com,nan,nan,no
Irene Mendoza (ORCID: 0000-0002-3288-6366),ebd.csic.es,CSIC,Regino Zamora##Luis Matías##Pierre-Michel A. A. Forget##Patricia Morellato##Jorge Castro##Carlos Peres##Lorena Gómez-Aparicio##José Luis Quero (ORCID: 0000-0001-...##Teodoro Marañón##Ignacio Manuel Pérez-Ramos##José A. Hódar##Abernethy K*##Bruna Alberton##Elise Buisson##Daniel Wisbech Carstensen##Swanni T.  Alvarado##Thiago Sanna Freire Silva##Vanessa G. Staggemeier##Maria Gabriela Gutierrez Camargo##olivier boissier,no
Sonia Haiduc,cs.fsu.edu,Florida State University,Andrian Marcus##Gabriele Bavota##Rocco Oliveto##Andrea De Lucia##Massimiliano Di Penta##Esteban Parra Rodriguez##Tim Menzies##Laura Moreno##Javier Escobar-Avila##Andrea Mocci##Jairo Aponte##Barbara Russo##Paolo Tonella##Chris Mills##Michele Lanza##Luca Ponzanelli##Surafel Lemma Abebe##Giuliano (Giulio) Antoniol##Gregory Gay##Mir Hasan,no
Luis Riazuelo,unizar.es,Universidad de Zaragoza,Luis Montano##J.M. Martínez Montiel##Danilo Tardioli##Javier Civera##Juan D. Tardós##Dorian Gálvez-López##Domenico Sicignano##Ana C. Murillo##Íñigo Alonso Ruiz##Alejandro R. Mosteo##Francisco Lera##Luis Montesano##Pablo Urcola,no
olivier boissier,emse.fr,Ecole des Mines de Saint-Etienne,Jomi Fred Hübner##Jaime Simão Sichman##Alessandro Ricci##Gauthier Picard##Yves Demazeau##Rafael H. Bordini##Antoine Zimmermann##Adina Magda Florea##Grégory Bonnet##Andrei Ciortea##Amro Najjar##Benjamin Gâteau##Laurent Vercouter##Nicolas Cointe##flavien balbo##Dr. Djamel KHADRAOUI##Luciano Reis Coutinho##Andrea Santi##Eric Dubois##Maiquel De Brito,yes
Philippe Mongeon,dal.ca,Dalhousie University,Vincent Larivière##Adèle Paul-Hus##Stefanie Haustein##Cassidy R. Sugimoto##Fei Shu##Rodrigo Costas##Maxime Sainte-Marie##Andrew Tsou##Elise Smith##Mike Thelwall##Kyle Siler##Timothy D. Bowman##Wei Jeng##Nicolás Robinson-García##Anabel Quan-Haase##Juan Pablo Alperin##Christine Brodeur##Catherine Beaudry##Ridde##Thed van Leeuwen,no
Tejas Peesapati,google.com,Google,Dan Cosley##Victoria Schwanda Sosik##Johnathon Schultz##Hao-Chuan Wang##Maurice D. Mulvenna,no
Juan D. Tardós,unizar.es,Universidad de Zaragoza,José Neira##J.M. Martínez Montiel##Jose A. Castellanos##Raúl Mur-Artal##Dorian Gálvez-López##Pedro Piniés##Lina María Paz##Paul Newman##David Ribas##Pere Ridao Rodríguez##John Leonard##Carlos Campos Martinez##Luis Montano##Ian D Reid##Juan J. Gómez Rodríguez##Luis Riazuelo##Richard Elvira##Wolfram Burgard##Marta Salas##Mark Cummins,no
Kim Normann Andersen,cbs.dk,Copenhagen Business School,Helle Zinner Henriksen##Rony Medaglia##Niels Bjørn-Andersen##Ravi Vatrapu##Maria A. Wimmer##Jeppe Agger Nielsen##Åke Grönlund##Lester Lasrado##Hans Jochen Scholl##Carsten Greve##Torkil Clemmensen##Carl Erik Moe##Robin Gauld##Jacob Torfing##T.M. van Engers##Enrico Francesconi##Steve Elliot##Jason Dedrick##Karl Löfgren##Upkar Varshney,no
Manish Gupta,buffalo.edu,State University of New York at Buffalo,nan,no
Bart De Schutter,tudelft.nl,Delft University,Hans Hellendoorn##Robert Babuska##Ton van den boom##Rudy R. Negenborn##Andreas Hegyi##De Moor Bart##Lucian Busoniu##Alfredo Núñez Vicencio##Maurice Heemels##Zsofia Lendek##Tamas Keviczky##Yihui Wang##Michel Verhaegen##Shu Lin##Damien Ernst##Minh Dang Doan##Alberto Bemporad##Ion Necoara##L. D. Baskar##Simone Baldi,yes
Dongho Choi,rutgers.edu,Rutgers The State University of New Jersey,Chirag Shah##Ziad Matni##Vivek K. Singh,yes
Pimenta  Marcelo S.,inf.ufrgs.br,UFRGS,Damián Keller##Isabela Gasparini##Evandro Manara Miletto##Luciano Vargas Flores##José Palazzo Moreira de Oliveira##Carla M. Dal Sasso Freitas##Fabio Petrillo##Marco Winckler##Leandro Lesqueves Costalonga##Eduardo Kessler Piveta##Luciana Nedel##Marcelo Queiroz##Marcelo Johann##Renata Galante##Alexandre Torres##François Bouchet##Silvia Schiaffino##Analia Amandi##Ana Marilza Pernas##Eduardo R Miranda,no
Liuhua Chen,g.clemson.edu,Clemson University,Chenxi Qiu##Yuhua Lin##Zhuozhao Li##Karan Sapra,no
Daniele Soria,kent.ac.uk,University of Kent,Jonathan M. Garibaldi##Emad Rakha##Graham Ball##Elia Mario Biganzoli##Jenna Reps##Christian Wagner##Uwe Aickelin##Mohammed Aleskandarany MD PhD##Utkarsh Agrawal##BM Syed,yes
Mark Hollins,email.unc.edu,nan,nan,no
Michael Holst,math.ucsd.edu,UC San Diego,Nathan Baker##Zeyun Yu##Stephen Bond##Yunrong Zhu##Yongcheng Zhou##Benzhuo Lu##Jinchao Xu##Tsogtgerel Gantumur##Pete Kekenes-Huskey##Burak Aksoylu##Long Chen##Yongjie Jessica Zhang##Johan Hake##Chandrajit Bajaj##Mark Ellisman##Deqiang Zhang##Andrew Gillette##Mats G Larson##Frank B. Sachse##Harald Pfeiffer,no
Alberto Sardinha,tecnico.ulisboa.pt,Instituto Superior Técnico,Carlos José Pereira de Lucena##Norman Sadeh##Francisco S. Melo##James Andrews##Alessandro Garcia##Awais Rashid##Vânia Mendonça##Luisa Coheur##Ruzanna Chitchyan##Luciana Barbosa##Ruy Luiz Milidiu##Ana Paiva##Pedro Sequeira##Jhielson M. Pimentel##Pedro U. Lima##André Mateus##Artur Rodrigues##Miguel Faria##Ana Moreira##Joao Araujo,yes
Mona Rahimi,cs.niu.edu,Northern Illinois University,nan,yes
Maxim Strygin,cs.bham.ac.uk,University of Birmingham,nan,no
Pawan Lingras,cs.smu.ca,nan,nan,yes
Václav Rajlich,wayne.edu,Wayne State University,Andrian Marcus##Denys Poshyvanyk##Giuliano (Giulio) Antoniol##Yann-Gaël Guéhéneuc##Jonathan I. Maletic##Tibor Gyimothy##Radu Vanciu##Árpád Beszédes##Judit Jász##keith gallagher##Gerardo Canfora##Harald Gall##Katsuro Inoue##Kostas Kontogiannis,no
Zainul Charbiwala,tricog.com,nan,Mani Srivastava##Thomas Schmid##Young H. Cho##Harshad Khadilkar##Supriyo Chakraborty##Tanuja Ganu##Deva P. Seetharam##Haksoo Choi##Vikas Chandan##Rajesh Kunnath##Chatschik Bisdikian##Ting He##Paul D Martin##Mohit Jain##Prabal Dutta##Stefano Soatto##Dejan Markovic##Shivkumar Kalyanaraman##Jagabondhu Hazra##Sathyajith Mathew,no
Yehuda Koren,google.com,Google,nan,yes
Peter J Bentley,cs.ucl.ac.uk,University College London,Soo Ling Lim##Jonathan Wakefield##Jon Timmis##David Basanta##Elizabeth A. Holm##Navneet Bhalla##Supiya (Ujjin) Charoensiriwath##David Corne##Uwe Aickelin##Hooman Shayani##Julie Greensmith##Miguel Coimbra##Andy Tyrrell##Fuyuki Ishikawa##Steve Cayzer##Jamie Twycross##vincenzo cutello##Ehud Schlessinger##Arturo Araujo##Peter Meltzer,no
Katia Denise Saraiva Bresciani,fmva.unesp.br,nan,A. F. T. Amarante##Gilson Hélio Toniollo##Solange M. Gennari##Elisa San Martin Mouriz Savani##Mary Marcondes##SIMONE BALDINI LUCHEIS##Hilda FJ Pena##Jose Luiz Laus##Reinaldo José da Silva##Professor Associado Cecílio Viega So...,no
Rafael Capilla,urjc.es,Rey Juan Carlos University,Jan Bosch##Paris Avgeriou##M. Ali Babar##Antony Tang##Philippe Kruchten##Mike Hinchey##Uwe Zdun##Patricia Lago##Anton Jansen##Pablo Trinidad##Davide Falessi##Claudia Raibulet##Antonio Ruiz Cortés##Raffaela Mirandola##Kyo Kang##patrizia scandurra##Salva Trujillo##Lionel Briand##Huy Tran##Jochen Küster,no
Fábio Cappabianco,unifesp.br,Universidade Federal de São Paulo,Falcao A.X.##Paulo A. V. Miranda##Jaime S Ide##CLARISSA LIN YASUDA##Leonardo Marques Rocha##J.K.Udupa##João Paulo Papa##Felipe P. G. Bergo##Fernando Cendes##Alexandre Levada##Rodrigo Yuji Mizobe Nakamura##Edgar Julian Paredes-Gamero##Lucy Choque Mansilla##Guido Araujo,no
Alexander R. Fabbri,salesforce.com,nan,Dragomir Radev##Irene Li##Rui Zhang##Smaranda Muresan##Caiming Xiong##Jungo Kasai##Tao Yu##Wojciech Kryściński,no
Barbara Wildemuth,unc.edu,University of North Carolina at Chapel Hill,nan,no
sandra slaughter,scheller.gatech.edu,Georgia Institute of Technology,Chris F. Kemerer##Donald Harter##IL-Horn Hann##M.S. Krishnan##Jim Herbsleb##Robert E. Kraut##Damien Joseph##Richard Baskerville##Balasubramaniam Ramesh##Waifong Boh##Pär J. Ågerfalk##Brian Fitzgerald##Nishtha Langer##Audris Mockus##Kok-Yee Ng##Chris Forman##Gregory D. Moody##Ravi Bapna##E. Ilana Diamant PhD,no
Manuel Kolp,uclouvain.be,University of Louvain,Yves Wautelet##John Mylopoulos##Paolo Giorgini##Jaelson  Castro##Samedi Heng##Jean Vanderdonckt##Stephan Poelmans##Brian Henderson-Sellers##Ivan Jureta##Loris Penserini##Haralambos Mouratidis##Eric Yu##Alessandro Garcia##Anna Perini##Marco Pistore##Sjaak Brinkkemper##Lin Liu (刘璘)##Christophe Schinckus##Ariel Fuxman##Luca Spalazzi,no
Maged N. Kamel Boulos,mail.sysu.edu.cn,nan,Steve Wheeler##Ray Jones##Inocencio Daniel Maramba##Abdul Roudsari##Robert Dellavalle##Dean Giustini##John G. Breslin##Carlos Tavares##ER Burtner##David N Crowley##Bernd Resch##Athanasios Anastasiou##Chante Karimkhani##Gearóid ÓLaighin##Angelo Martins##Artur Rocha##John Nelson##Gunho Sohn##Antonio Sanfilippo##Courtney (Court) Corley,no
Tanuja Ganu,microsoft.com,nan,Deva P. Seetharam##Shivkumar Kalyanaraman##Rajesh Kunnath##Dipanjan Chakraborty##George Thanos##Sunil Ghai,yes
Israel Cruz Vega,inaoep.mx,Instituto Nacional de Astrofísica Óptica y Electrónica,José de Jesús Rangel-Magdaleno##Juan Manuel Ramirez-Cortes##Hayde Peregrina-Barreto##Jose Martinez-Carranza##Hugo Jair Escalante##Pilar Gómez-Gil##Roberto Morales Caporal##Esteban Tlelo-Cuautle##Carlos Morales-Perez##Omar Guillén Fernández##L. Oyuki Rojas-Perez##Wen Yu##O. sandre hernandez##Jesus A. Gonzalez##Alejandro Rosales-Pérez##Carlos A Reyes-Garcia##Leopoldo Altamirano Robles##Mauricio A. García Limón,yes
R. Manmatha,cs.umass.edu,nan,Victor Lavrenko##Alex Smola##James Allan##I. Zeki Yalniz##C. V. Jawahar##Chao-Yuan Wu##W. Bruce Croft##Horst Bunke##Brian Neil Levine##Donald Metzler##Tingxin Yan##Deepak Ganesan##Andrew McCallum##David A. Smith##Venu Govindaraju,no
Pablo Urcola,bitbrain.es,nan,Luis Montano##Mayte Lázaro##Jose A. Castellanos##Luis Riazuelo##Tom Duckett##Grzegorz Cielniak,no
Andrea Pennisi,allianz.be,nan,Luca Iocchi##Daniele Nardi##Antonio Facchiano##Fabio Previtali##Andrea Vitaletti##Francesco Ficarola##Esra Erdem##Mayte Lázaro##Claudio Roberto Gaz,yes
Tilo Kircher,staff.uni-marburg.de,University of Marburg,Benjamin Straube##Volker Arolt##Hans-Ulrich Wittchen##Nadim Joni Shah##Univ.-Prof. Dr. Alexander L. Gerlach##Alfons Hamm##Sören Krach##Tony Stoecker##Udo Dannlowski##Michael Brammer##Georg W. Alpers##Andrew T. Gloster##Jan Richter##Andreas Reif##Thomas Fydrich##Kerstin Konrad##Susanne Weis##Stephanie Witt##Steve C R Williams##Nina Romanczuk-Seiferth OR Nina Se...,no
Alexei Lapouchnian,cs.toronto.edu,University of Toronto,nan,no
Hsin-Hsiung Huang,ucf.edu,University of Central Florida,Jie Yang##Chenglong Yu##Troy Hernandez##Wingyan Chung##Tu Xu##Yi-Ren Yeh##Zheyuan Zhu##Cantor rm##Erin Edward Austin##Ake T. Lu,no
Christophe Schinckus,ufv.ca,nan,nan,no
Manuel Montes-y-Gómez,inaoep.mx,nan,Luis Villaseñor Pineda##Hugo Jair Escalante##Paolo Rosso##Aurelio Lopez-Lopez##Thamar Solorio##Luis Enrique Sucar##Fabio Gonzalez##Adrián Pastor López-Monroy##Alexander Gelbukh##Esaú Villatoro Tello##Rafael Guzman Cabrera##Eduardo Morales##Marcelo Luis Errecalde##Rosa M. Ortega-Mendoza##Jesus A. Gonzalez##Upendra Sapkota##Luis C Gonzalez##donato hernández fusilier##RITA MARINA ACEVES PEREZ##Francisco Rangel,no
Suranjan Chakraborty,towson.edu,Towson university,Suprateek Sarker##Sutirtha Chatterjee##Saonee Sarker##Josh Dehlinger##Gregory D. Moody##Prof. Paul Benjamin Lowry##Kent Marett##Ryan Timothy Wright##K. Asli Basoglu##Christoph Rosenkranz##sudhanshu Rai##Joseph S. Valacich##Patriya Tansuhaj##Siddharth Kaza##amitava bagchi,no
David A. Bader,njit.edu,New Jersey Institute of Technology,Kamesh Madduri##Jason Riedy##Bernard M.E. Moret##Henning Meyerhenke##Oded Green##Guojing Cong##John R. Gilbert##Jeremy Kepner##Zhihui Du##Jonathan W. Berry##Timothy G Mattson##Peter Sanders##Srinivas Aluru##Tandy Warnow##Aydın Buluç##Vipin Sachdeva##Seunghwa Kang##John Feo##Adam McLaughlin##Dorothea Wagner,yes
Ming-Zhe Dai | 戴明哲,csu.edu.cn,Central South University,Chengxi Zhang (张承玺)##Feng Xiao##mingzhen gui##Choon Ki Ahn##Yulong Huang##Yu Jiang##Yi Jiang | 姜艺##Chong Li##Yilong Zhu##Ming Liu##Yu Lu（陆宇）##Weiming Fu##Jin Wu##BING XIAO##Jihe Wang,no
Alexander Voss,st-andrews.ac.uk,University of St Andrews,nan,no
Ralf Krampe,kuleuven.be,University of Leuven,K Anders Ericsson##Reinhold Kliegl##ulrich mayr##Ralf Engbert##Stephan Swinnen##Neil Charness##Mihalis Doumas##Paul B. Baltes##Jürgen Kurths##Krista Overvliet##Johan Wagemans##Lixia Yang##Michael Rosenblum##Nieuwboer A##Matthieu P. Boisgontier##Dirk Vorberg##Markus Abel##Annette Witt##alexey zaikin##Nicole Wenderoth,no
Eduardo Morales,inaoep.mx,INAOE,Luis Enrique Sucar##Hugo Jair Escalante##Jesus A. Gonzalez##Pablo Hernandez-Leal##Luis Villaseñor Pineda##Manuel Montes-y-Gómez##JB Hernandez-Zaragoza##Aurelio Lopez-Lopez##Pablo H. Ibargüengoytia,yes
Jane Huffman Hayes,cs.uky.edu,University of Kentucky,nan,no
Carles Sierra,iiia.csic.es,nan,Juan Antonio Rodriguez Aguilar##Nick Jennings##Jordi Sabater-Mir##Lluis Godo##Pablo Noriega##Ramon Lopez de Mantaras##Marc Esteva##Nardine Osman##Michael Wooldridge##Josep LLuis Arcos##Simeon SIMOFF##Wamberto Vasconcelos##Anton Bogdanovych##Marco Schorlemmer##Sarvapali D. (Gopal) Ramchurn##Mark d'Inverno##Fausto Giunchiglia##Wiebe van der Hoek##Alessio R Lomuscio##Thomas Ågotnes,yes
Pablo Hernandez-Leal,borealisai.com,nan,Matthew E. Taylor##Luis Enrique Sucar##Bilal Kartal##Enrique Munoz de Cote##Eduardo Morales##Michael Kaisers##Oscar Mayora##Alban Maxhuni PhD##Jesus A. Gonzalez##Orihuela-Espina Felipe##Tim Baarslag##Chao Gao##Fernando Lezama##Joao Soares##Tiago Pinto##Concha Bielza##Felipe Leno da Silva (Leno)##Benjamin Rosman##Pablo H. Ibarguengoytia##Jesús Ariel Carrasco Ochoa,yes
Geoffrey G. Xie,nps.edu,Naval Postgraduate School,Robert Beverly,no
Dr. Djamel KHADRAOUI,list.lu,nan,Christophe Feltus##Benjamin Gâteau##Eric Dubois##Martinet P.##Marcin Seredynski##Gérald Arnould##Jocelyn Aubert##olivier boissier##Haralambos Mouratidis##Pascal Bouvry##Wassila AGGOUNE-MTALAA##Cédric Bonhomme##Lounis Adouane##Damien NICOLAS##Paulo Simoes##Krzysztof Szczypiorski##Filipe Caldeira##Juha Röning##Bernabe Dorronsoro##Juan Carlos Burguillo-Rial,no
Joseph Seffi Naor,cs.technion.ac.il,Technion,nan,no
Tim de Bruin,plumerai.com,nan,Robert Babuska##Jens Kober##Karl Tuyls##Lucian Busoniu##Domagoj Tolic##Ivana Palunko,no
Thomas Eiter,kr.tuwien.ac.at,Vienna University of Technology,Georg Gottlob##Michael Fink##Hans Tompits##Nicola Leone##Wolfgang Faber##Giovambattista Ianni##Thomas Krennwallner##Axel Polleres##Gerhard Brewka##V.S. Subrahmanian##Thomas Lukasiewicz##Minh Dao-Tran##Magdalena Ortiz##Mantas Šimkus##Christoph Redl##Peter Schüller##Diego Calvanese##Antonius Weinzierl##Jürgen Dix##Fatma Ozcan,yes
L. Oyuki Rojas-Perez,inaoep.mx,INAOE,Jose Martinez-Carranza##Aldrich A. Cabrera-Ponce##Israel Cruz Vega##J. Arturo Cocoma-Ortega##Jesús Ariel Carrasco Ochoa##Jose Francisco Martinez Trinidad,no
David A. Clifton,eng.ox.ac.uk,University of Oxford,Lionel Tarassenko##Peter Watkinson##Lei Clifton##Tingting Zhu##Gari Clifford##Katherine Niehaus##Timothy M Walker##David Wong##Dani Kiyasseh##Glen Wright Colopy##Daniel J Wilson##steve king##Farah Shamout##C Louise Thwaites##Samaneh Kouchaki##Patrick Thomson##Davide Morelli##Wei Chen##Professor Rob Hope##Zamin Iqbal,yes
Martin Zablocki,informatik.uni-freiburg.de,nan,Georg Lausen##Alexander Schätzle##Thomas Hornung##Sherif Sakr##Io Taxidou##Peter M. Fischer##Roland Zimmermann##Anthony Arrascue##Anas alzogbi,no
Lei Zhang,umich.edu,University of Michigan,Steve Oney,no
Naga Katta,cs.princeton.edu,Princeton University,nan,no
Anabel Quan-Haase,uwo.ca,Western University,Barry Wellman##Kim Martin##Keith N Hampton##James Witte##Wenhong Chen 陈文泓##Alyson Leigh Young##Lori McCay-Peet##Prof Luke Sloan##Laura Robinson##Victoria L. Rubin##Jeremy Schulz##Gustavo S. Mesch##Timothy M. Hale##Mike Stern##Hiroshi Ono##Joe Cothrel##Michael Haight##Bernie Hogan##Timothy D. Bowman##Stefanie Haustein,no
Leonard Reinecke,uni-mainz.de,University of Mainz,Sabine Trepte##Adrian Meier##Allison Eden##Peter Vorderer##Manfred Beutel##Oliver Quiring##Diana Rieger##Tilo Hartmann##Tobias Dienlin##Matthew Grizzard##Ron Tamborini##Marc Ziegele##Christine E. Meltzer##Robert Lewis##Katharina Knop-Huelss##Nick Bowman (包尼克)##Markus Rohde##Sabine Reich##Keno Juechems##Mary Beth Oliver,no
Rachel L. Neo,osu.edu,Ohio State University,nan,no
Niels Bjørn-Andersen,cbs.dk,nan,Michel Avital##Richard Watson##Kim Normann Andersen##Thorhildur Hansdottir Jetzek##Helle Zinner Henriksen##Stefan Henningsson##Jonathan Wareham##Suprateek Sarker##Saonee Sarker##Yao-Hua Tan##Helmut Krcmar##Akemi Takeoka Chatfield MBA PhD##M. Lynne Markus##Arvin Sahaym##Liana Razmerita##Ramon O'Callaghan##Roya Gholami##Steve Elliot##Petra Schubert##Stefan Klein,no
Kang G. Shin,umich.edu,University of Michigan,Xin Hu##Jennifer Rexford##Hyoil Kim##Alexander W. Min##Xinyu Zhang##Ming-Syan Chen##Taejoon Park##Kyu-Han Kim##Sung-Ju Lee##Lui Sha##Jaehyuk Choi##Ji-Hoon Yun##Jan Jonsson##Xiaoyun Zhu,no
Shyong (Tony) Lam,tc.umn.edu,University of Minnesota,nan,no
Ding Li,pku.edu.cn,Peking University,William G.J. Halfond##kangkook Jee##Jiaping Gui##Shuai Hao##Zhengzhang (Zach) Chen##Junghwan "John" Rhee##Ramesh Govindan##Zhenyu Wu##Xusheng Xiao##Mu Zhang##Mian Wan##Prateek Mittal##Lu-An Tang##Yingjun Lyu##Wajih Ul Hassan##Xiao Yu##Jingchao Ni##Shen Wang##Philip S. Yu##Peng Gao,no
Jie Huang,mae.cuhk.edu.hk,Chinese University of Hong Kong,Professor Zhiyong Chen##F.L. Lewis##Wei Liu##He Cai##Murad Abu-Khalaf##Lu Liu##Wang Dan##Yiguang Hong##Zhong-Ping Jiang##Weiyao Lan##Chen Tianshi##Guoqiang Hu##Yamin Yan##Iven Mareels##David John HILL##Daizhan Cheng##Wei-Hsin Liao##Hongwei Zhang,no
Venera Arnaoudova,wsu.edu,Washington State University,Giuliano (Giulio) Antoniol##Yann-Gaël Guéhéneuc##Massimiliano Di Penta##Sarah Fakhoury##Rocco Oliveto##Yuzhan Ma##Foutse Khomh##Sebastiano Panichella##Olusola Adesope##Waleed Abdu Zogaan##Paolo Tonella##Sonia Haiduc##Andrian Marcus##Mehdi Mirakhorli##Surafel Lemma Abebe##Cedric Noiseux##Sk Adnan Hassan##Soumaya Medini##Giovanni Beltrame##Rubén Saborido,no
Yiming Yang,cs.cmu.edu,Carnegie Mellon University,Jaime Carbonell##Quoc V. Le##Hanxiao Liu##Wei-Cheng Chang##Christopher G. Chute##Monica Rogati##Ruslan Salakhutdinov##Fan Li##Zhilin Yang##Guokun Lai##Siddharth Gopal##Yuexin Wu##Eduard Hovy##Barnabas Poczos##Ruochen Xu##Chun-Liang Li##Rayid Ghani##Zhiqing Sun##Abhay Harpale##Abhimanyu Lad,yes
Jingchao Ni,psu.edu,Pennsylvania State University,Hanghang Tong,yes
Matthias Jarke,dbis.rwth-aachen.de,RWTH Aachen University,nan,no
Chris Forman,cornell.edu,Cornell University,Avi Goldfarb##D.J. Wu##Marco Ceccagnoli##Anindya Ghose##Peng Huang##Ashish Arora##Batia M. Wiesenfeld##Pei-yu Chen##Nishtha Langer##Shane Greenstein,no
Robert Beverly,nps.edu,Naval Postgraduate School,kc claffy##Arthur W Berger##Matthew Luckie##Steven Bauer##Erik Rye##Mark Allman##Justin P. Rohrer##Geoffrey G. Xie##Simson Garfinkel##Georgios Smaragdakis##Ryan Craven##Jeremy Martin##Joel Young##Zachary N J Peterson##Mark Gondree##Alberto Dainotti##Kévin Vermeulen##Olivier Fourmaux##Rob Jansen##Anja Feldmann,no
Nachiappan Nagappan,fb.com,Facebook,Thomas Zimmermann##Laurie Williams##Christian Bird##Brendan Murphy##Thomas Ball##Harald Gall##Andrew Begel##Andreas Zeller##David Lo##Prem  Devanbu##Kim Herzig##Pavneet Singh Kochhar##Ayushi Rastogi##Philip Guo##Emerson Murphy-Hill##Eric Wiebe##Jason A Osborne##Miryung Kim##Chetan Bansal##Gail Murphy,no
